kegiatan,nama_paket,nama_jalan,jenis_konstruksi,volume,satuan
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat ,Paket 1 (Trotoar Kawasan Senayan dan Sekitarnya),JI. Gelora ( sisi Kanan ),trotoar,"2.966,53",m2
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat ,Paket 1 (Trotoar Kawasan Senayan dan Sekitarnya),JI. Gelora ( sisi Kiri ),trotoar,"839,60",m2
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat ,Paket 1 (Trotoar Kawasan Senayan dan Sekitarnya),Jl. Gerbang Pemuda ( sisi Kanan),trotoar,"2.717,39",m2
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat ,Paket 1 (Trotoar Kawasan Senayan dan Sekitarnya),Jl. Palmerah Selatan (Sisi Kanan ),trotoar,"407,91",m2
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat ,Paket 1 (Trotoar Kawasan Senayan dan Sekitarnya),Jl. Tentara pelajar,trotoar,"1.880,07",m2
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat ,Paket 1 (Trotoar Kawasan Senayan dan Sekitarnya),Jl. Gatot Subroto ( Sisi Kanan),trotoar,"3.255,36",m2
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat ,Paket 2 (Pengadaan Kotak Mulut Air Kawasan Senayan dsk),JI. Gelora ( sisi Kanan ),kotak mulut air,"169,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat ,Paket 2 (Pengadaan Kotak Mulut Air Kawasan Senayan dsk),JI. Gelora ( sisi Kiri ),kotak mulut air,"169,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat ,Paket 2 (Pengadaan Kotak Mulut Air Kawasan Senayan dsk),Jl. Gerbang Pemuda,kotak mulut air,"169,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat ,Paket 2 (Pengadaan Kotak Mulut Air Kawasan Senayan dsk),Jl. Pos,kotak mulut air,"44,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat ,Paket 2 (Pengadaan Kotak Mulut Air Kawasan Senayan dsk),Jl. Abdul Rahman Saleh,kotak mulut air,"14,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat ,Paket 2 (Pengadaan Kotak Mulut Air Kawasan Senayan dsk),Jl. Johar,kotak mulut air,"13,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat ,Paket 2 (Pengadaan Kotak Mulut Air Kawasan Senayan dsk),Jl. Kebon sirih,kotak mulut air,"38,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat ,Paket 2 (Pengadaan Kotak Mulut Air Kawasan Senayan dsk),Jl. Wahid hasyim,kotak mulut air,"8,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat ,Paket 2 (Pengadaan Kotak Mulut Air Kawasan Senayan dsk),Jl. Jaksa,kotak mulut air,"10,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat ,Paket 2 (Pengadaan Kotak Mulut Air Kawasan Senayan dsk),Jl. Taman Cut Meutia (sisi Kanan),kotak mulut air,"78,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat ,Paket 2 (Pengadaan Kotak Mulut Air Kawasan Senayan dsk),Jl. Taman Cut Meutia (sisi Kiri),kotak mulut air,"62,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat ,Paket 3 (Peningkatan Saluran Jalan Tentara Pelajar dsk),Jl Tentara Pelajar,u-ditch 1000,"116,00",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat ,Paket 4 (Kelengkapan Prasarana Trotoar),JI. Gelora ( sisi Kanan ),ubin pengarah,"622,00",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat ,Paket 4 (Kelengkapan Prasarana Trotoar),JI. Gelora ( sisi Kanan ),bollard,"55,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat ,Paket 4 (Kelengkapan Prasarana Trotoar),JI. Gelora ( sisi Kanan ),bangku,"6,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat ,Paket 4 (Kelengkapan Prasarana Trotoar),JI. Gelora ( sisi Kiri ),ubin pengarah,"622,00",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat ,Paket 4 (Kelengkapan Prasarana Trotoar),JI. Gelora ( sisi Kiri ),bollard,"55,00",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat ,Paket 4 (Kelengkapan Prasarana Trotoar),JI. Gelora ( sisi Kiri ),bangku,"6,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat ,Paket 4 (Kelengkapan Prasarana Trotoar),Jl. Gerbang Pemuda ( sisi Kanan),ubin pengarah,"974,00",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat ,Paket 4 (Kelengkapan Prasarana Trotoar),Jl. Gerbang Pemuda ( sisi Kanan),bollard,"101,00",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat ,Paket 4 (Kelengkapan Prasarana Trotoar),Jl. Gerbang Pemuda ( sisi Kanan),bangku,"17,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat ,Paket 4 (Kelengkapan Prasarana Trotoar),Jl. Palmerah Selatan (Sisi Kanan ),ubin pengarah,"475,67",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat ,Paket 4 (Kelengkapan Prasarana Trotoar),Jl. Palmerah Selatan (Sisi Kanan ),bollard,"37,00",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat ,Paket 4 (Kelengkapan Prasarana Trotoar),Jl. Palmerah Selatan (Sisi Kanan ),bangku,"1,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat ,Paket 4 (Kelengkapan Prasarana Trotoar),Jl. Tentara pelajar,ubin pengarah,"1.075,67",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat ,Paket 4 (Kelengkapan Prasarana Trotoar),Jl. Tentara pelajar,bollard,"37,00",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat ,Paket 4 (Kelengkapan Prasarana Trotoar),Jl. Tentara pelajar,bangku,"1,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat ,Paket 4 (Kelengkapan Prasarana Trotoar),Jl. Gatot Subroto ( Sisi Kanan),ubin pengarah,"1.075,67",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat ,Paket 4 (Kelengkapan Prasarana Trotoar),Jl. Gatot Subroto ( Sisi Kanan),bollard,"36,00",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat ,Paket 4 (Kelengkapan Prasarana Trotoar),Jl. Gatot Subroto ( Sisi Kanan),bangku,"2,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat ,Paket 6 (Pembangunan Halte Bus Kawasan Senayan dsk),Jl. Gerbang Pemuda,trotoar,"16,00",m2
